2024-10-09 15:09:00,535 - INFO - --- Starting Scenario: 2_player_heterogeneous_equiprobable_actions ---
2024-10-09 15:09:00,535 - INFO - Hyperparameters: n_agents=2, action_size=2, sigma_beta=0.5, alpha=1.3, beta_parameters=[0.63461776 0.36538224]
2024-10-09 15:09:00,535 - INFO - Episode 1: Actions=(1, 0), Rewards=[0.         0.63461776], Action Frequencies=[0.6 0.4], Joint Action Frequencies=[0.2 0.2 0.4 0.2], Iteration=6
2024-10-09 15:09:00,536 - INFO - Episode 2: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.5 0.5], Joint Action Frequencies=[0.16666667 0.33333333 0.33333333 0.16666667], Iteration=7
2024-10-09 15:09:00,536 - INFO - Episode 3: Actions=(0, 0), Rewards=[0.23187806 0.23187806], Action Frequencies=[0.42857143 0.42857143], Joint Action Frequencies=[0.28571429 0.28571429 0.28571429 0.14285714], Iteration=8
2024-10-09 15:09:00,536 - INFO - Episode 4: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.375 0.5  ], Joint Action Frequencies=[0.25  0.375 0.25  0.125], Iteration=9
2024-10-09 15:09:00,536 - INFO - Episode 5: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.33333333 0.55555556], Joint Action Frequencies=[0.22222222 0.44444444 0.22222222 0.11111111], Iteration=10
2024-10-09 15:09:00,536 - INFO - Episode 6: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.3 0.6], Joint Action Frequencies=[0.2 0.5 0.2 0.1], Iteration=11
2024-10-09 15:09:00,536 - INFO - Episode 7: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.36363636 0.63636364], Joint Action Frequencies=[0.18181818 0.45454545 0.18181818 0.18181818], Iteration=12
2024-10-09 15:09:00,537 - INFO - Episode 8: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.41666667 0.66666667], Joint Action Frequencies=[0.16666667 0.41666667 0.16666667 0.25      ], Iteration=13
2024-10-09 15:09:00,537 - INFO - Episode 9: Actions=(1, 0), Rewards=[0.         0.63461776], Action Frequencies=[0.46153846 0.61538462], Joint Action Frequencies=[0.15384615 0.38461538 0.23076923 0.23076923], Iteration=14
2024-10-09 15:09:00,537 - INFO - Episode 10: Actions=(0, 0), Rewards=[0.23187806 0.23187806], Action Frequencies=[0.42857143 0.57142857], Joint Action Frequencies=[0.21428571 0.35714286 0.21428571 0.21428571], Iteration=15
